      Date  Time
2006-06-01 06:00
2006-06-01 06:10
2006-06-01 06:20
2006-06-01 06:30
2006-06-01 06:40
2006-06-01 21:50
2006-06-02 06:40
2006-06-02 06:50
2006-06-02 22:20
2006-06-02 22:30
2006-06-03 07:00
2006-06-03 20:50
2006-06-03 21:00
2006-06-04 06:40
2006-06-04 06:50
2006-06-04 07:00
2006-06-04 22:30
2006-06-04 22:40
2006-06-04 22:50
2006-06-04 23:00
2006-06-04 23:10
2006-06-04 23:20
2006-06-04 23:30
2006-06-04 23:40
2006-06-04 23:50
2006-06-05 00:00
2006-06-05 00:10
2006-06-05 00:20
2006-06-05 00:30
2006-06-05 00:40
2006-06-05 06:20
2006-06-05 06:30
2006-06-05 23:50
2006-06-06 00:00
2006-06-06 00:10
2006-06-06 06:10
2006-06-06 06:20
2006-06-06 12:30
2006-06-06 12:40
2006-06-06 12:50
2006-06-06 13:00
2006-06-06 13:10
2006-06-06 13:20
2006-06-06 13:30
2006-06-06 13:40
2006-06-06 13:50
2006-06-06 14:00
2006-06-06 14:10
2006-06-06 14:20
2006-06-06 14:30
2006-06-06 14:40
2006-06-06 14:50
2006-06-06 15:00
2006-06-06 15:10
2006-06-06 15:20
2006-06-06 15:30
2006-06-06 15:40
2006-06-06 15:50
2006-06-06 16:00
2006-06-06 16:10
2006-06-06 16:20
2006-06-06 16:30
2006-06-06 16:40
2006-06-06 16:50
2006-06-06 17:00
2006-06-06 17:10
2006-06-06 17:20
2006-06-06 17:30
2006-06-06 17:40
2006-06-06 17:50
2006-06-06 18:00
2006-06-06 18:10
2006-06-06 18:20
2006-06-06 18:30
2006-06-07 04:10
2006-06-07 04:20
2006-06-07 04:30
2006-06-07 04:40
2006-06-07 21:00
2006-06-07 21:10
2006-06-07 21:20
2006-06-07 21:30
2006-06-08 04:40
2006-06-08 04:50
2006-06-08 05:00
2006-06-08 05:10
2006-06-08 05:20
2006-06-08 05:30
2006-06-08 05:40
2006-06-08 05:50
2006-06-09 03:00
2006-06-09 03:10
2006-06-09 08:40
2006-06-09 08:50
2006-06-09 09:00
2006-06-09 22:50
2006-06-09 23:00
2006-06-09 23:10
2006-06-09 23:20
2006-06-09 23:30
2006-06-09 23:40
2006-06-09 23:50
